id,date,usd_krw,usd_index
1,2001.1.2,1276.4,108.77
2,2001.1.3,1270.1,110.17
3,2001.1.4,1255,108.81
4,2001.1.5,1263.5,108.42
5,2001.1.8,1265.8,108.86
6,2001.1.9,1255.1,109.52
7,2001.1.10,1267.9,109.86
8,2001.1.11,1278.1,109.01
9,2001.1.12,1281.1,109.36
10,2001.1.15,1285.8,109.97
11,2001.1.16,1283.5,110.11
12,2001.1.17,1277.6,110.81
13,2001.1.18,1284,109.94
14,2001.1.19,1276.8,110.66
15,2001.1.22,1273.9,110.24
16,2001.1.26,1280.3,111.46
17,2001.1.29,1267.1,111.77
18,2001.1.30,1265,110.98
19,2001.1.31,1259,110.52
20,2001.2.1,1256.7,109.66
21,2001.2.2,1249.5,110.32
22,2001.2.5,1262.5,109.89
23,2001.2.6,1260.5,110.77
24,2001.2.7,1264.3,110.89
25,2001.2.8,1265.5,112.06
26,2001.2.9,1261.6,111.52
27,2001.2.12,1264.3,111.19
28,2001.2.13,1255,111.96
29,2001.2.14,1252.3,112.04
30,2001.2.15,1247,113.2
31,2001.2.16,1243.5,112.26
32,2001.2.19,1246.9,111.92
33,2001.2.20,1235.8,112.82
34,2001.2.21,1238,113.12
35,2001.2.22,1244.3,113.34
36,2001.2.23,1248.5,112.03
37,2001.2.26,1248,112.77
38,2001.2.27,1246.5,112.34
39,2001.2.28,1250.8,112.01
40,2001.3.2,1265,111.17
41,2001.3.5,1273.3,111.54
42,2001.3.6,1264.8,111.2
43,2001.3.7,1273.4,111.83
44,2001.3.8,1273.5,111.49
45,2001.3.9,1268.8,111.44
46,2001.3.12,1278.4,112.01
47,2001.3.13,1275.3,113.11
48,2001.3.14,1277.8,113.7
49,2001.3.15,1282.3,114.71
50,2001.3.16,1292.3,115.32
51,2001.3.19,1299.2,115.2
52,2001.3.20,1295.9,114.11
53,2001.3.21,1305.3,115.53
54,2001.3.22,1318.6,116.3
55,2001.3.23,1307.1,115.94
56,2001.3.26,1310.5,115.21
57,2001.3.27,1309.5,115.43
58,2001.3.28,1304.5,116.01
59,2001.3.29,1318.6,116.6
60,2001.3.30,1327.5,117.37
61,2001.4.2,1348.8,117.34
62,2001.4.3,1343.7,115.63
63,2001.4.4,1365.2,115.08
64,2001.4.6,1342.1,114.75
65,2001.4.9,1339.2,115.21
66,2001.4.10,1334.1,116.02
67,2001.4.11,1325,116.13
68,2001.4.12,1316.2,115.54
69,2001.4.16,1329.1,116.18
70,2001.4.17,1324.1,116.46
71,2001.4.18,1314.2,116.13
72,2001.4.19,1298,115.02
73,2001.4.20,1313,114.32
74,2001.4.23,1314.6,114.77
75,2001.4.24,1307,115.2
76,2001.4.25,1307.9,114.98
77,2001.4.26,1313.3,114.46
78,2001.4.27,1327.6,115.62
79,2001.4.30,1319.7,115.85
80,2001.5.2,1302.8,115.16
81,2001.5.3,1294.5,115.38
82,2001.5.4,1298.2,114.93
83,2001.5.7,1297,115.32
84,2001.5.8,1300.5,116.08
85,2001.5.9,1301.8,116.05
86,2001.5.10,1305.9,116.37
87,2001.5.11,1300.7,116.84
88,2001.5.14,1297.4,117.14
89,2001.5.15,1303.5,116.79
90,2001.5.16,1309.3,116.14
91,2001.5.17,1301.9,116.12
92,2001.5.18,1304,116.41
93,2001.5.21,1301.5,116.52
94,2001.5.22,1296.5,117.69
95,2001.5.23,1285,118.29
96,2001.5.24,1285,118.36
97,2001.5.25,1288.9,118.18
98,2001.5.29,1289.6,118.22
99,2001.5.30,1289.5,118.22
100,2001.5.31,1282.7,119.07
101,2001.6.1,1285.4,118.89
102,2001.6.4,1285.8,119.19
103,2001.6.5,1286.7,118.7
104,2001.6.7,1286.1,119.09
105,2001.6.8,1284.7,119.21
106,2001.6.11,1288.5,120.05
107,2001.6.12,1290.4,119.61
108,2001.6.13,1293.3,119.03
109,2001.6.14,1291.7,117.99
110,2001.6.15,1292,118.29
111,2001.6.18,1300.5,118.36
112,2001.6.19,1304.9,119.04
113,2001.6.20,1294.9,119.13
114,2001.6.21,1302.9,118.89
115,2001.6.22,1303.8,118.91
116,2001.6.25,1303,118.32
117,2001.6.26,1299,118.07
118,2001.6.27,1300,118.38
119,2001.6.28,1303.2,120.01
120,2001.6.29,1297.5,119.43
121,2001.7.2,1301,119.67
122,2001.7.3,1292.3,119.6
123,2001.7.4,1295.3,119.91
124,2001.7.5,1296.6,120.9
125,2001.7.6,1294,119.9
126,2001.7.9,1296.4,119.89
127,2001.7.10,1299,119.13
128,2001.7.11,1308.8,118.64
129,2001.7.12,1300.7,119.09
130,2001.7.13,1308,119.33
131,2001.7.16,1311.2,119.3
132,2001.7.18,1311.7,117.38
